Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
USA,104196861,1132935,101322779,1741147,1159832679,334805269
India,44682784,530740,44150289,1755,915265788,1406631776
France,39524311,164233,39264546,95532,271490188,65584518
Germany,37779833,165711,37398100,216022,122332384,83883596
Brazil,36824580,697074,35919372,208134,63776166,215353593
Japan,32588442,68399,21567425,10952618,92144639,125584838
S. Korea,30197066,33486,29740877,422703,15804065,51329899
Italy,25453789,186833,25014986,251970,265478247,60262770
UK,24274361,204171,24020088,50102,522526476,68497907
Russia,21958696,395108,21356008,207580,273400000,145805947
